Day,District,Total Population,Lower End of 95% CI of Predicted Cases,Upper End of 95% CI of Predicted Cases
1,Abbottabad,1332901,0,0
2,Abbottabad,1332901,0,1
3,Abbottabad,1332901,0,1
4,Abbottabad,1332901,0,1.525
5,Abbottabad,1332901,0,2.525
6,Abbottabad,1332901,0,3.525
7,Abbottabad,1332901,0,4.525
8,Abbottabad,1332901,0,8
9,Abbottabad,1332901,0,13.1
10,Abbottabad,1332901,0,24.2
11,Abbottabad,1332901,0,37.775
12,Abbottabad,1332901,1.475,50.725
13,Abbottabad,1332901,3.95,76.925
14,Abbottabad,1332901,9,119.9
1,Astore,99842,0,2
2,Astore,99842,0,4
3,Astore,99842,0,7
4,Astore,99842,0,9.525
5,Astore,99842,0.475,14
6,Astore,99842,1,20.525
7,Astore,99842,3,29.525
8,Astore,99842,5,39
9,Astore,99842,9,53.525
10,Astore,99842,15,75.525
11,Astore,99842,24.475,103.575
12,Astore,99842,39.475,142.575
13,Astore,99842,55.375,198.15
14,Astore,99842,76.65,269.525
1,Attock,1883538,0,1
2,Attock,1883538,0,2.05
3,Attock,1883538,0,2.525
4,Attock,1883538,0,3.525
5,Attock,1883538,0,5.525
6,Attock,1883538,0,7.525
7,Attock,1883538,0,10.525
8,Attock,1883538,0,17.1
9,Attock,1883538,0,25.15
10,Attock,1883538,2,35.15
11,Attock,1883538,3,46.575
12,Attock,1883538,6.475,67.05
13,Attock,1883538,10,94.575
14,Attock,1883538,22,135.05
1,Awaran,121642,0,0
2,Awaran,121642,0,0
3,Awaran,121642,0,0.525
4,Awaran,121642,0,1
5,Awaran,121642,0,1.525
6,Awaran,121642,0,3
7,Awaran,121642,0,5
8,Awaran,121642,0,8.525
9,Awaran,121642,0,13.525
10,Awaran,121642,0,22.575
11,Awaran,121642,0.95,50.525
12,Awaran,121642,3,90.25
13,Awaran,121642,9,148.15
14,Awaran,121642,16.95,298.525
1,Badin,1804464,0,0
2,Badin,1804464,0,1
3,Badin,1804464,0,1
4,Badin,1804464,0,1.525
5,Badin,1804464,0,2
6,Badin,1804464,0,3.525
7,Badin,1804464,0,6
8,Badin,1804464,0,11.525
9,Badin,1804464,0,19.575
10,Badin,1804464,1,31.525
11,Badin,1804464,1.475,50.05
12,Badin,1804464,4.475,76
13,Badin,1804464,10.425,151.525
14,Badin,1804464,28.475,272.2
1,Bahawalnagar,2981919,0,0
2,Bahawalnagar,2981919,0,0
3,Bahawalnagar,2981919,0,0
4,Bahawalnagar,2981919,0,0
5,Bahawalnagar,2981919,0,0
6,Bahawalnagar,2981919,0,0
7,Bahawalnagar,2981919,0,0
8,Bahawalnagar,2981919,0,0.525
9,Bahawalnagar,2981919,0,1
10,Bahawalnagar,2981919,0,2
11,Bahawalnagar,2981919,0,3
12,Bahawalnagar,2981919,0,5.525
13,Bahawalnagar,2981919,0,7
14,Bahawalnagar,2981919,0,11.525
1,Bahawalpur,3668101,0,0
2,Bahawalpur,3668101,0,0
3,Bahawalpur,3668101,0,1
4,Bahawalpur,3668101,0,1.525
5,Bahawalpur,3668101,0,2
6,Bahawalpur,3668101,0,3
7,Bahawalpur,3668101,0,5.525
8,Bahawalpur,3668101,0,7.575
9,Bahawalpur,3668101,0,12.575
10,Bahawalpur,3668101,0,19.05
11,Bahawalpur,3668101,0,26.15
12,Bahawalpur,3668101,1.475,38.05
13,Bahawalpur,3668101,6,53.525
14,Bahawalpur,3668101,9,78.25
1,Bajaur,1093684,0,0
2,Bajaur,1093684,0,0
3,Bajaur,1093684,0,0
4,Bajaur,1093684,0,0
5,Bajaur,1093684,0,0
6,Bajaur,1093684,0,0
7,Bajaur,1093684,0,0
8,Bajaur,1093684,0,0.525
9,Bajaur,1093684,0,1.525
10,Bajaur,1093684,0,2.525
11,Bajaur,1093684,0,4.525
12,Bajaur,1093684,0,7
13,Bajaur,1093684,0,16.575
14,Bajaur,1093684,0,28.625
1,Bannu,1167891,0,0
2,Bannu,1167891,0,0
3,Bannu,1167891,0,1
4,Bannu,1167891,0,2
5,Bannu,1167891,0,2.525
6,Bannu,1167891,0,4.05
7,Bannu,1167891,0,6.05
8,Bannu,1167891,0,7.525
9,Bannu,1167891,0,10.575
10,Bannu,1167891,0,16.05
11,Bannu,1167891,0,22
12,Bannu,1167891,0,32.15
13,Bannu,1167891,0,46.775
14,Bannu,1167891,0,64.825
1,Barkhan,170787,0,6
2,Barkhan,170787,0,13
3,Barkhan,170787,1,20.575
4,Barkhan,170787,3,29.575
5,Barkhan,170787,5.475,40.05
6,Barkhan,170787,13.475,57
7,Barkhan,170787,22.475,87.625
8,Barkhan,170787,32.275,128.2
9,Barkhan,170787,50.95,179.775
10,Barkhan,170787,74.9,235.525
11,Barkhan,170787,101.475,324.775
12,Barkhan,170787,149.475,443.075
13,Barkhan,170787,233.6,597.575
14,Barkhan,170787,346.975,816.025
1,Battagram,476541,0,1
2,Battagram,476541,0,3
3,Battagram,476541,0,3.525
4,Battagram,476541,0,5
5,Battagram,476541,0,8.05
6,Battagram,476541,0,13
7,Battagram,476541,0,19
8,Battagram,476541,1,31.1
9,Battagram,476541,2.475,47.625
10,Battagram,476541,3.475,80
11,Battagram,476541,7.475,110.1
12,Battagram,476541,17.95,179.4
13,Battagram,476541,27.425,288.55
14,Battagram,476541,44.9,476.825
1,Bhakkar,1650313,0,2
2,Bhakkar,1650313,0,4
3,Bhakkar,1650313,0,7
