Day,District,Total Population,Lower End of 95% CI of Predicted Cases,Upper End of 95% CI of Predicted Cases
1,Badin,1804208,0.0,1.0
1,Thatta,1758688,1.475,6.0
1,Tando Muhammad Khan,676901,0.0,1.5249999999999915
1,Hyderabad,2195641,3.0,10.0
1,Tando Allahyar,835838,3.0,8.0
1,Mirpur Khas,1504862,0.0,2.0
1,Tharparker,1649506,0.0,0.0
1,Dadu,1549188,0.0,1.5249999999999915
1,Qambar Shahdadkot,1338677,2.0,7.5249999999999915
1,Larkana,1522467,0.0,2.0
1,Naushahro Firoz,1609155,6.0,14.524999999999991
1,Jamshoro,986871,14.0,22.52499999999999
1,Ghotki,1638241,9.475000000000001,25.0
1,Kashmore,1079057,10.475000000000001,22.0
1,Sukkur,1440979,217.95,256.575
1,Matiari,767251,0.0,2.0
1,Sanghar,2055016,4.475,10.524999999999991
1,Jacobabad,1003443,3.0,8.0
1,Shikarpur,1215502,10.0,24.0
1,Nawabshah,2007281,9.0,18.0
1,Karachi,17034124,13.475000000000001,32.52499999999999
1,Khairpur,2393288,15.475,29.52499999999999
1,Umerkot,1072430,2.0,6.0
2,Badin,1804208,0.0,2.0
2,Thatta,1758688,2.0,11.049999999999983
2,Tando Muhammad Khan,676901,0.0,3.0
2,Hyderabad,2195641,3.0,16.0
2,Tando Allahyar,835838,3.0,12.524999999999991
2,Mirpur Khas,1504862,0.0,4.049999999999983
2,Tharparker,1649506,0.0,1.0
2,Dadu,1549188,0.0,3.5249999999999915
2,Qambar Shahdadkot,1338677,3.0,12.524999999999991
2,Larkana,1522467,0.0,5.0
2,Naushahro Firoz,1609155,9.475000000000001,25.0
2,Jamshoro,986871,17.475,36.52499999999999
2,Ghotki,1638241,16.475,45.0
2,Kashmore,1079057,17.0,39.04999999999998
2,Sukkur,1440979,311.425,391.67499999999995
2,Matiari,767251,0.0,5.5249999999999915
2,Sanghar,2055016,5.0,17.0
2,Jacobabad,1003443,3.475,14.0
2,Shikarpur,1215502,14.0,50.52499999999999
2,Nawabshah,2007281,11.475,31.049999999999983
2,Karachi,17034124,20.475,76.14999999999995
2,Khairpur,2393288,24.95,57.67499999999994
2,Umerkot,1072430,2.0,10.0
3,Badin,1804208,0.0,4.0
3,Thatta,1758688,3.0,22.52499999999999
3,Tando Muhammad Khan,676901,0.0,6.5249999999999915
3,Hyderabad,2195641,5.475,30.574999999999974
3,Tando Allahyar,835838,4.0,21.049999999999983
3,Mirpur Khas,1504862,0.0,7.049999999999983
3,Tharparker,1649506,0.0,2.5249999999999915
3,Dadu,1549188,0.0,4.5249999999999915
3,Qambar Shahdadkot,1338677,3.0,18.52499999999999
3,Larkana,1522467,0.0,9.524999999999991
3,Naushahro Firoz,1609155,14.475000000000001,45.52499999999999
3,Jamshoro,986871,24.95,53.0
3,Ghotki,1638241,26.475,74.09999999999997
3,Kashmore,1079057,29.0,72.0
3,Sukkur,1440979,451.75,589.575
3,Matiari,767251,0.0,11.049999999999983
3,Sanghar,2055016,7.475,26.52499999999999
3,Jacobabad,1003443,5.0,24.049999999999983
3,Shikarpur,1215502,24.0,91.52499999999999
3,Nawabshah,2007281,18.950000000000003,51.0
3,Karachi,17034124,43.425,199.5499999999998
3,Khairpur,2393288,41.425,97.09999999999997
3,Umerkot,1072430,2.0,15.049999999999983
4,Badin,1804208,0.0,5.5249999999999915
4,Thatta,1758688,5.475,32.04999999999998
4,Tando Muhammad Khan,676901,0.0,11.0
4,Hyderabad,2195641,8.475,56.099999999999966
4,Tando Allahyar,835838,4.425000000000001,34.52499999999999
4,Mirpur Khas,1504862,0.0,9.524999999999991
4,Tharparker,1649506,0.0,2.5249999999999915
4,Dadu,1549188,0.0,8.524999999999991
4,Qambar Shahdadkot,1338677,4.475,27.0
4,Larkana,1522467,2.0,18.0
4,Naushahro Firoz,1609155,22.475,66.52499999999999
4,Jamshoro,986871,35.0,79.52499999999999
4,Ghotki,1638241,43.475,119.62499999999996
4,Kashmore,1079057,55.475,119.04999999999998
4,Sukkur,1440979,670.8499999999999,842.575
4,Matiari,767251,0.4750000000000001,17.574999999999974
4,Sanghar,2055016,10.0,42.04999999999998
4,Jacobabad,1003443,8.0,41.04999999999998
4,Shikarpur,1215502,48.0,160.62499999999994
4,Nawabshah,2007281,27.475,73.04999999999998
4,Karachi,17034124,72.475,363.4499999999998
4,Khairpur,2393288,73.9,151.7249999999999
4,Umerkot,1072430,3.0,21.52499999999999
5,Badin,1804208,0.0,11.049999999999983
5,Thatta,1758688,7.949999999999999,54.52499999999999
5,Tando Muhammad Khan,676901,0.0,18.52499999999999
5,Hyderabad,2195641,15.475,98.0
5,Tando Allahyar,835838,5.95,54.0
5,Mirpur Khas,1504862,0.0,15.574999999999974
5,Tharparker,1649506,0.0,4.5249999999999915
5,Dadu,1549188,0.4750000000000001,15.574999999999974
5,Qambar Shahdadkot,1338677,5.475,43.62499999999996
5,Larkana,1522467,5.0,35.574999999999974
